ECZ,TL,TG,TC_25,TC_26-50,TC_51-75,TC_76-100,LT_25,LT_25-50,LT_51-75,LT_76-100,TL/TLA,TCL_25/Y_2000_TC_25,TCL_50/Y_2000_TC_50,TCL_75/Y_2000_TC_75,TG/Y_2000_TC-50,L_50+TG/Y_2000_TC_50,BLG
SAM_Tropical_rainforest,253435,33042,678685,100431,131817,5607324,2125,3847,10919,236544,3.9,4.3,4.3,4.2,0.6,4.9,4.7
EAS_Boreal_coniferous_forest,229331,124488,1774827,904244,1577094,1831760,15280,29602,50285,134164,3.8,5.0,5.4,7.3,3.7,9.1,9.0
EAS_Tropical_rainforest,228011,104488,563048,116976,275092,1661696,2666,2856,15050,207438,8.7,11.0,11.5,12.5,5.4,16.9,14.4
SAM   Tropical moist deciduous forest,162095,33615,2456904,379932,404571,1003315,17675,25214,36530,82676,3.8,8.1,8.5,8.2,2.4,10.9,10.2
EAS   Boreal mountain system,143573,36555,2266444,756678,1000381,1048086,23000,30952,38751,50869,2.8,4.3,4.4,4.9,1.8,6.2,6.1
NAM   Subtropical humid forest,122915,103420,399595,55264,65639,522260,854,1582,6486,113993,11.8,19.0,20.5,21.8,17.6,38.1,31.2
NAM   Boreal coniferous forest,120804,39978,314668,264683,474734,917683,3223,21444,22386,73751,6.1,7.1,6.9,8.0,2.9,9.8,9.5
AFR   Tropical rainforest,96848,24575,511549,752270,742393,1941290,2272,10590,28693,55293,2.5,2.8,3.1,2.8,0.9,4.0,3.7
SAM   Tropical dry forest,88784,3032,898296,382134,231661,150647,10581,30683,29104,18416,5.3,10.2,12.4,12.2,0.8,13.2,13.1
AFR   Tropical moist deciduous forest,84719,3649,2370104,1331743,845218,40070,27852,28032,25474,3361,1.8,2.6,3.3,8.4,0.4,3.7,3.5
NAM   Temperate mountain system,82998,39105,791649,107937,153970,891664,2385,4274,6475,69864,4.3,7.0,7.3,7.8,3.7,11.0,10.7
NAM   Boreal tundra woodland,63370,4342,924788,659389,405281,284991,3266,21744,20580,17779,2.8,4.5,5.6,6.2,0.6,6.2,6.2
EAS   Temperate continental forest,63068,48939,3126680,210065,500447,1003265,1118,2023,9041,50886,1.3,3.6,4.0,5.1,3.3,7.2,7.1
NAM   Temperate continental forest,56749,26139,731687,80291,131018,1000282,216,549,2045,53939,2.9,4.7,4.9,5.4,2.3,7.3,6.9
EAS   Subtropical humid forest,44693,17066,989723,193841,339619,469305,1208,1962,10323,31200,2.2,4.3,5.1,6.6,2.1,7.2,6.6
NAM   Boreal mountain system,39485,1332,568948,180517,189178,233314,1145,8887,13879,15573,3.4,6.4,7.0,6.7,0.3,7.3,7.3
AFR   Tropical dry forest,33259,3298,3076095,412938,125125,19520,11240,11866,7820,2332,0.9,3.9,7.0,11.9,2.3,9.3,8.2
EAS   Tropical moist deciduous forest,28166,7837,739252,91874,189904,298608,1829,1938,6724,17674,2.1,4.5,5.0,5.9,1.6,6.6,6.2
NAM   Tropical moist deciduous,25169,8174,284373,55814,73719,247384,737,1413,3932,19087,3.8,6.5,7.2,7.7,2.5,9.7,9.4
NAM   Tropical rainforest forest,22777,2641,97950,23299,36653,253265,202,470,1770,20334,5.5,7.2,7.6,8.0,0.9,8.5,8.4
EAS   Temperate oceanic forest,19089,13471,929909,40517,84314,216456,379,640,2583,15488,1.5,5.5,6.0,7.2,4.5,10.5,10.0
EAS   Temperate mountain system,19037,8892,4100378,101904,174080,568263,995,1449,2534,14058,0.4,2.1,2.2,2.5,1.2,3.4,3.4
NAM   Subtropical mountain system,18861,5631,370255,56439,45414,117601,2137,2207,2500,12018,3.2,7.6,8.9,10.2,3.5,12.4,11.5
SAM   Subtropical humid forest,17149,25269,971549,38429,40670,132183,491,648,1350,14660,1.4,7.9,9.3,11.1,14.6,23.9,20.5
SAM   Tropical mountain system,15624,4700,1154706,64730,90321,559185,561,799,1303,12961,0.8,2.1,2.2,2.3,0.7,2.9,2.7
EAS   Tropical mountain system,14459,5388,301136,34772,93240,350957,304,495,2473,11189,1.9,3.0,3.1,3.2,1.2,4.3,3.9
EAS   Tropical dry forest,13952,1755,1181479,74787,75701,67938,1575,1586,3699,7093,1.0,5.7,7.5,10.4,1.2,8.7,8.5
AFR   Tropical mountain system,12236,4813,1098346,176193,80558,107352,1040,2161,3400,5635,0.8,3.1,4.8,5.2,2.6,7.4,6.8
EAS   Subtropical dry forest,10987,5120,734840,62992,48342,87437,1515,1729,2677,5066,1.2,4.8,5.7,5.8,3.8,9.5,8.7
AUS   Tropical rainforest,9972,3374,48615,20176,30783,687847,65,97,345,9465,1.3,1.3,1.4,1.4,0.5,1.8,1.7
EAS   Subtropical mountain system,9695,4213,3012481,116266,177782,285763,726,1155,2571,5243,0.3,1.5,1.7,1.8,0.9,2.6,2.5
EAS   Boreal tundra woodland,8300,286,1081882,150336,86494,15996,4393,1951,1432,524,0.6,1.5,1.9,3.3,0.3,2.2,2.2
SAM   Subtropical dry forest,8256,10797,57044,5787,6298,30265,49,84,269,7854,8.3,19.4,22.2,26.0,29.5,51.7,42.5
AUS   Subtropical humid forest,6488,5983,130692,22580,30269,90635,82,206,394,5806,2.4,4.5,5.1,6.4,4.9,10.1,8.5
AUS   Temperate oceanic forest,5439,5786,108801,6052,13996,82774,24,54,216,5146,2.6,5.3,5.5,6.2,6.0,11.5,9.6
AFR   Subtropical mountain system,5180,5137,390362,9522,6115,5316,295,536,1898,2451,1.3,23.3,38.0,46.1,44.9,83.0,58.1
AUS   Subtropical dry forest,4234,3902,81757,17375,10024,12111,417,1037,886,1894,3.5,9.7,12.6,15.6,17.6,30.2,25.4
AUS   Temperate mountain system,4220,2269,94608,14214,21282,60561,35,68,257,3860,2.2,4.4,5.0,6.4,2.8,7.8,6.8
SAM   Temperate oceanic forest,3292,3510,107543,8332,23900,90484,41,15,45,3192,1.4,2.6,2.8,3.5,3.1,5.9,4.9
NAM   Tropical dry forest,3177,870,142817,31827,25026,22140,283,616,1151,1127,1.4,3.7,4.8,5.1,1.8,6.7,6.6
NAM   Temperate oceanic forest,2854,2317,14521,1511,1900,20962,7,12,35,2801,7.3,11.7,12.4,13.4,10.1,22.5,20.1
NAM   Tropical mountain system,2832,522,123244,30126,31947,72471,113,236,448,2035,1.1,2.0,2.4,2.8,0.5,2.9,2.8
AFR   Subtropical dry forest,1864,880,308429,10588,7605,8179,224,341,526,772,0.6,6.2,8.2,9.4,5.6,13.8,12.9
NAM   Subtropical dry forest,1717,723,67075,3801,3009,12153,128,170,238,1181,2.0,8.4,9.4,9.7,4.8,14.1,13.0
AFR   Subtropical humid forest,1556,1229,58127,14101,8704,3540,74,160,517,805,1.8,5.6,10.8,22.7,10.0,20.8,15.0
AUS   Tropical mountain system,751,317,7778,3977,7622,101354,4,9,46,691,0.6,0.7,0.7,0.7,0.3,1.0,0.9
AUS   Tropical dry forest,707,379,414034,31011,7067,8741,312,222,82,91,0.2,0.8,1.1,1.0,2.4,3.5,2.1
AUS   Tropical moist deciduous forest,375,94,10919,7706,10154,25954,4,7,46,317,0.7,0.8,1.0,1.2,0.3,1.3,1.2
SAM   Temperate mountain system,248,142,52497,1603,3662,17420,15,3,8,221,0.3,1.0,1.1,1.3,0.7,1.8,1.7
SAM   Subtropical mountain system,147,119,226487,2143,1706,7185,8,3,7,129,0.1,1.3,1.5,1.8,1.3,2.9,2.6
